Period,Season,TrawlType,mean,sd,upper,lower,type,signif
Pre-Decline,Fall,Channel,438.4392696,199.3226005,637.7618701,239.1166691,biomass,no
Pre-Decline,Summer,Channel,19.41546445,7.422893016,26.83835746,11.99257143,biomass,yes
Post-Decline,Fall,Channel,200.6089676,80.26608309,280.8750507,120.3428845,biomass,no
Post-Decline,Summer,Channel,487.3187425,177.2300654,664.5488079,310.0886771,biomass,yes
Pre-Decline,Fall,Channel,20.05555556,5.656120947,25.7116765,14.39943461,count,no
Pre-Decline,Summer,Channel,9.111111111,2.265147903,11.37625901,6.845963209,count,yes
Post-Decline,Fall,Channel,35.625,9.061057659,44.68605766,26.56394234,count,no
Post-Decline,Summer,Channel,103.7777778,36.92397766,140.7017554,66.85380012,count,yes
Pre-Decline,Fall,Intertidal Flats,50.07289725,14.60476835,64.6776656,35.4681289,biomass,no
Pre-Decline,Summer,Intertidal Flats,125.7730492,46.16449943,171.9375487,79.6085498,biomass,no
Post-Decline,Fall,Intertidal Flats,87.86992634,54.55342893,142.4233553,33.31649741,biomass,no
Post-Decline,Summer,Intertidal Flats,92.11868133,49.2592437,141.377925,42.85943763,biomass,no
Pre-Decline,Fall,Intertidal Flats,20.22222222,4.797249454,25.01947168,15.42497277,count,no
Pre-Decline,Summer,Intertidal Flats,54.66666667,28.84400317,83.51066984,25.82266349,count,no
Post-Decline,Fall,Intertidal Flats,27.1,13.78945094,40.88945094,13.31054906,count,no
Post-Decline,Summer,Intertidal Flats,39.77777778,22.67406278,62.45184055,17.103715,count,no
